customer_id,customer_name,age,city,state,account_type,application_date,vkyc_start_time,vkyc_end_time,agent_id,agent_name,document_type,document_status,face_match_score,liveness_score,audio_clarity_score,network_quality,fraud_flag,fraud_reason,kyc_status,rejection_reason,turnaround_minutes,escalation_flag,customer_income_band
CUST100000,Pihu Sen,59,Mumbai,Maharashtra,Savings,05-01-2026,05-01-2026 14:51,05-01-2026 15:23,AG1032,Piya Gaba,Aadhaar,Valid,65,89.39,83.83,Good,Yes,Deepfake suspicion,Rejected,Deepfake suspicion,32,No,3-6L
CUST100001,Pihu Wali,30,Ahmedabad,Gujarat,Savings,06-02-2026,06-02-2026 06:16,06-02-2026 07:15,AG1017,Uthkarsh Baral,Aadhaar,Valid,79.41,68.8,79.46,Average,No,,Approved,,59,No,6-10L
CUST100002,Tiya Rege,39,Pune,Maharashtra,Salary,19-01-2026,19-01-2026 14:45,19-01-2026 15:38,AG1035,Priyansh Bali,Aadhaar,Valid,71.08,73.72,63.23,Good,No,,Approved,,53,No,0-3L
CUST100003,Faiyaz Din,50,Lucknow,Uttar Pradesh,Salary,11-06-2026,11-06-2026 06:26,11-06-2026 06:43,AG1017,Uthkarsh Baral,Passport,Mismatch,63.61,62.78,83.06,Good,No,,Rejected,Document invalid,17,No,10L+
CUST100004,Indranil Karan,45,Pune,Maharashtra,Current,30-01-2026,30-01-2026 15:26,30-01-2026 16:02,AG1029,Hazel Sethi,Aadhaar,Valid,85.02,88,84.18,Good,No,,Approved,,36,No,3-6L
CUST100005,Saira Vora,62,Ahmedabad,Gujarat,Current,09-02-2026,10-02-2026 00:58,10-02-2026 02:15,AG1013,Divij Gupta,Passport,Valid,89.42,62.23,91.09,Good,No,,Approved,,77,Yes,6-10L
CUST100006,Damini Singh,35,Kolkata,West Bengal,Savings,11-06-2026,11-06-2026 03:12,11-06-2026 04:31,AG1023,Vaibhav Dewan,Passport,Valid,61.4,65.57,87.25,Average,No,,Rejected,Face mismatch,79,Yes,10L+
CUST100007,Dishani Bera,37,Ahmedabad,Gujarat,Salary,31-03-2026,31-03-2026 20:24,31-03-2026 21:45,AG1033,Manikya Tara,Driving License,Valid,93.58,66.1,58,Average,No,,Rejected,Low audio quality,81,Yes,10L+
CUST100008,Navya Kulkarni,37,Bengaluru,Karnataka,Salary,04-05-2026,04-05-2026 21:45,04-05-2026 22:48,AG1046,Vritika Sangha,Passport,Valid,94.64,89.96,88.43,Good,No,,Approved,,63,Yes,0-3L
CUST100009,Indrans Grover,41,Delhi,Delhi,Current,03-04-2026,03-04-2026 12:02,03-04-2026 13:16,AG1038,Vivaan Wagle,PAN,Valid,83.01,93.58,75.38,Good,No,,Approved,,74,Yes,0-3L
